Addresses,Cool_Cats,Azuki Count
0x42F3f76Ba5202D7A4C48fD428B5613c657689BCC,1,1
0x3fC3E56D256a4ACe92a93E4e6E70A719CAa0D080,1,3
0xCd32895ffbC17085Bf27D9d6411d4d8295ff7786,1,1
0x1984EDf70973E1389548F21cD0DCb15b408240c9,1,2
0x60Cd04af655806bCdE85964a78543Def2d40aAAF,1,5
0xAA54fA7C21aa518787208923d8d173F2B22658fF,1,1
0xE3f279F20c51173F68646d8c371E99054994c5FD,1,1
0x0A3C38D3bd9e36E300E4f89332b35b1Ca08D422A,1,1
0xfc4d5f7a7d7D10c6Fc89F520325AB3AD420D6465,1,1
0x3E226E119174EF9B4BF4463ba53C17C44a96c700,1,6
0x07cC3c2Ece8a0D83D71F9f62D70731C5392f5c29,1,1
0x30E924cff3C2a73b153D1C935819d752c555eaaf,1,1
0x13B3A50F3947476eDa74FE191344524E2d2D28e5,1,1
0xEB6f3EAA5D0E30F1B860B913Fcab911F904907c9,1,1
0xe9d4f4f93C7C0EBF3BdfED9EFf721476Ce951E61,1,1
0x3f3E2f43f0aC69f30ec38d3E4FEC304bdF330E7A,1,3
0x8018bbadf493a80051AB73B83DF31D1BF37790b6,1,1
0x1c29dcaa0CAd96Ca3f60D414C7E2e47c99Cd7bDD,1,7
0xB2FBa7f4384C517E1524846aba89393b3eF42042,1,1
0x53722a32FDdda871f35ef628B252d349744d4b71,1,3
0x9dc856B3646e4daA540d6C6ABF646F96DAe3fB8A,1,2
0x286F4511F242092330777105C755F2468E84823D,1,4
0xE296803aCADD6a12c66dD8608A760020219b763B,1,1
0x527d968af4283F20924c2e5b8dFF867Aab566478,1,1
0xcc4D049ec74b00dd45f4887bCb542b1D3A82AE21,1,2
0x7Ba6527419152e17d78DACCbb89a51AB71C8D200,1,1
0xA85Fa747aEB17203bD3aBa143E8E12cd50fe539F,1,15
0x4D6aA3DA789EA162a5978193Bd584d3067227835,1,1
0x31F9E1AA3108b7f70653D701fc7C0269fEe564F7,1,2
0xdF45e0868c741341fC14b43f59D641422542c578,1,1
0x7f08d733A2c4E65E88975AEF8F80fa694EF339c1,1,1
0x9F4C5733784dBF867Eba62068E5aB06c7D3A7843,1,4
0xEAD2b8ee2A2d0c5E99F7808d37f2eE57877aD2DE,1,1
0x8DE9834144D4c9a4276843DcB0Ef8a9B49b163e6,1,1
0x1e32a859d69dde58d03820F8f138C99B688D132F,1,1
0xdC7ffF433FC2B4f79efaD7A7c5990cE6328FEa5D,1,5
0xA4d07c23F28A1eb1ae471e530c3f5e0038d282F2,1,1
0x679B4172E1698579d562D1d8b4774968305b80b2,1,3
Total,802,921
